UNITID,COSTT4_A,COSTT4_P
221670,NULL,NULL
222628,NULL,NULL
223001,NULL,NULL
223083,NULL,NULL
223117,NULL,NULL
223223,NULL,NULL
224305,NULL,NULL
224712,NULL,NULL
226675,NULL,NULL
227289,NULL,NULL
228194,NULL,NULL
228635,NULL,NULL
228644,NULL,NULL
228653,NULL,NULL
228866,NULL,NULL
228909,NULL,NULL
229300,NULL,NULL
229337,NULL,NULL
230010,NULL,NULL
230676,NULL,NULL
231068,NULL,NULL
231147,NULL,NULL
231721,NULL,NULL
231970,NULL,NULL
232724,NULL,NULL
232885,NULL,NULL
233082,NULL,NULL
233356,NULL,NULL
233480,NULL,NULL
233842,NULL,NULL
234915,NULL,NULL
235547,NULL,NULL
237473,NULL,NULL
237561,NULL,NULL
237880,NULL,NULL
237905,NULL,NULL
238573,NULL,NULL
239169,NULL,NULL
239424,NULL,NULL
239637,NULL,NULL
240213,NULL,NULL
241793,NULL,NULL
242723,NULL,NULL
243081,NULL,NULL
243203,NULL,NULL
243498,NULL,NULL
243799,NULL,NULL
245838,NULL,NULL
245847,NULL,NULL
245865,NULL,NULL
245883,NULL,NULL
245892,NULL,NULL
246017,NULL,NULL
246345,NULL,NULL
246789,NULL,NULL
247162,NULL,NULL
247825,NULL,NULL
249566,NULL,NULL
250993,NULL,NULL
262022,NULL,NULL
262165,NULL,NULL
262402,NULL,NULL
363721,NULL,NULL
365213,NULL,NULL
366003,NULL,NULL
366368,NULL,NULL
366571,NULL,NULL
366605,NULL,NULL
366623,NULL,NULL
367954,NULL,NULL
367972,NULL,NULL
369002,NULL,NULL
369659,NULL,NULL
369950,NULL,NULL
374024,NULL,NULL
375373,NULL,NULL
375568,NULL,NULL
375656,NULL,NULL
375726,NULL,NULL
376330,NULL,NULL
377193,NULL,NULL
380465,NULL,NULL
381352,NULL,NULL
381459,NULL,NULL
381732,NULL,NULL
383020,NULL,NULL
383330,NULL,NULL
384306,NULL,NULL
385415,NULL,NULL
391759,NULL,NULL
392354,NULL,NULL
393861,NULL,NULL
400558,NULL,NULL
401250,NULL,NULL
404222,NULL,NULL
404338,NULL,NULL
406033,NULL,NULL
407391,NULL,NULL
407407,NULL,NULL
407513,NULL,NULL
407522,NULL,NULL
407610,NULL,NULL
407629,NULL,NULL
409254,NULL,NULL
409537,NULL,NULL
409591,NULL,NULL
409616,NULL,NULL
411754,NULL,NULL
414823,NULL,NULL
414869,NULL,NULL
414878,NULL,NULL
414966,NULL,NULL
416801,NULL,NULL
417248,NULL,NULL
417983,NULL,NULL
418205,NULL,NULL
418250,NULL,NULL
418278,NULL,NULL
419332,NULL,NULL
420246,NULL,NULL
420705,NULL,NULL
423643,NULL,NULL
428000,NULL,NULL
428259,NULL,NULL
429085,NULL,NULL
429094,NULL,NULL
430704,NULL,NULL
431266,NULL,NULL
431558,NULL,NULL
431983,NULL,NULL
432348,NULL,NULL
433174,NULL,NULL
434441,NULL,NULL
434584,NULL,NULL
434715,NULL,NULL
434937,NULL,NULL
435000,NULL,NULL
436261,NULL,NULL
437097,NULL,NULL
437316,NULL,NULL
437325,NULL,NULL
439020,NULL,NULL
439288,NULL,NULL
439394,NULL,NULL
439446,NULL,NULL
439668,NULL,NULL
439747,NULL,NULL
439783,NULL,NULL
439817,NULL,NULL
439914,NULL,NULL
440004,NULL,NULL
440031,NULL,NULL
440396,NULL,NULL
440819,NULL,NULL
440916,NULL,NULL
441104,NULL,NULL
441131,NULL,NULL
441210,NULL,NULL
441238,NULL,NULL
441414,NULL,NULL
441858,NULL,NULL
442064,NULL,NULL
442161,NULL,NULL
442213,NULL,NULL
442295,NULL,NULL
442392,NULL,NULL
442639,NULL,NULL
442806,NULL,NULL
442949,NULL,NULL
443030,NULL,NULL
443058,NULL,NULL
443076,NULL,NULL
443128,NULL,NULL
443702,NULL,NULL
444103,NULL,NULL
444130,NULL,NULL
444635,NULL,NULL
444699,NULL,NULL
444778,NULL,NULL
445054,NULL,NULL
445300,NULL,NULL
445735,NULL,NULL
445869,NULL,NULL
445957,NULL,NULL
446002,NULL,NULL
446039,NULL,NULL
446084,NULL,NULL
446224,NULL,NULL
446394,NULL,NULL
446613,NULL,NULL
447698,NULL,NULL
447801,NULL,NULL
448044,NULL,NULL
448239,NULL,NULL
448248,NULL,NULL
448691,NULL,NULL
449348,NULL,NULL
449454,NULL,NULL
449481,NULL,NULL
449597,NULL,NULL
449816,NULL,NULL
449834,NULL,NULL
449889,NULL,NULL
449922,NULL,NULL
450298,NULL,NULL
450304,NULL,NULL
450632,NULL,NULL
451033,NULL,NULL
451051,NULL,NULL
451079,NULL,NULL
451103,NULL,NULL
451291,NULL,NULL
451307,NULL,NULL
451510,NULL,NULL
451583,NULL,NULL
451927,NULL,NULL
452081,NULL,NULL
452771,NULL,NULL
452780,NULL,NULL
453163,NULL,NULL
453297,NULL,NULL
454582,NULL,NULL
454689,NULL,NULL
454838,NULL,NULL
454856,NULL,NULL
455071,NULL,NULL
455099,NULL,NULL
455178,NULL,NULL
455202,NULL,NULL
455406,NULL,NULL
455433,NULL,NULL
455664,NULL,NULL
455707,NULL,NULL
455804,NULL,NULL
455813,NULL,NULL
455992,NULL,NULL
456542,NULL,NULL
456621,NULL,NULL
457129,NULL,NULL
457226,NULL,NULL
457271,NULL,NULL
457350,NULL,NULL
457402,NULL,NULL
457615,NULL,NULL
457688,NULL,NULL
457697,NULL,NULL
457721,NULL,NULL
457819,NULL,NULL
457873,NULL,NULL
457998,NULL,NULL
458113,NULL,NULL
458885,NULL,NULL
458955,NULL,NULL
459189,NULL,NULL
459736,NULL,NULL
459745,NULL,NULL
459824,NULL,NULL
460376,NULL,NULL
460738,NULL,NULL
460871,NULL,NULL
461120,NULL,NULL
461139,NULL,NULL
461245,NULL,NULL
461281,NULL,NULL
461324,NULL,NULL
461333,NULL,NULL
461412,NULL,NULL
461430,NULL,NULL
461485,NULL,NULL
461643,NULL,NULL
461865,NULL,NULL
461883,NULL,NULL
461892,NULL,NULL
462035,NULL,NULL
462044,NULL,NULL
475033,NULL,NULL
475200,NULL,NULL
475228,NULL,NULL
475273,NULL,NULL
475282,NULL,NULL
475398,NULL,NULL
475422,NULL,NULL
475495,NULL,NULL
475714,NULL,NULL
475750,NULL,NULL
476355,NULL,NULL
476726,NULL,NULL
476814,NULL,NULL
477002,NULL,NULL
479992,NULL,NULL
480499,NULL,NULL
480790,NULL,NULL
481030,NULL,NULL
481085,NULL,NULL
481094,NULL,NULL
481100,NULL,NULL
481225,NULL,NULL
481340,NULL,NULL
481401,NULL,NULL
481535,NULL,NULL
481720,NULL,NULL
482325,NULL,NULL
482565,NULL,NULL
482705,NULL,NULL
483124,NULL,NULL
483221,NULL,NULL
483708,NULL,NULL
483975,NULL,NULL
484057,NULL,NULL
484233,NULL,NULL
484668,NULL,NULL
484677,NULL,NULL
484710,NULL,NULL
484862,NULL,NULL
485342,NULL,NULL
485403,NULL,NULL
485537,NULL,NULL
485546,NULL,NULL
485564,NULL,NULL
485908,NULL,NULL
486053,NULL,NULL
486080,NULL,NULL
486150,NULL,NULL
486202,NULL,NULL
486433,NULL,NULL
486442,NULL,NULL
486460,NULL,NULL
486488,NULL,NULL
486947,NULL,NULL
487010,NULL,NULL
487153,NULL,NULL
487296,NULL,NULL
487649,NULL,NULL
487746,NULL,NULL
487852,NULL,NULL
487959,NULL,NULL
487995,NULL,NULL
488004,NULL,NULL
488031,NULL,NULL
488192,NULL,NULL
488226,NULL,NULL
488387,NULL,NULL
488420,NULL,NULL
488527,NULL,NULL
488554,NULL,NULL
488572,NULL,NULL
488590,NULL,NULL
488776,NULL,NULL
488800,NULL,NULL
488828,NULL,NULL
488837,NULL,NULL
488846,NULL,NULL
488907,NULL,NULL
489335,NULL,NULL
489353,NULL,NULL
489779,NULL,NULL
489858,NULL,NULL
490045,NULL,NULL
490063,NULL,NULL
490090,NULL,NULL
490106,NULL,NULL
490124,NULL,NULL
490151,NULL,NULL
490160,NULL,NULL
490328,NULL,NULL
490373,NULL,NULL
490443,NULL,NULL
490601,NULL,NULL
490753,NULL,NULL
491190,NULL,NULL
491215,NULL,NULL
491297,NULL,NULL
491394,NULL,NULL
491473,NULL,NULL
491534,NULL,NULL
491589,NULL,NULL
491631,NULL,NULL
491701,NULL,NULL
491783,NULL,NULL
491808,NULL,NULL
491950,NULL,NULL
492032,NULL,NULL
492078,NULL,NULL
492209,NULL,NULL
492306,NULL,NULL
492315,NULL,NULL
492324,NULL,NULL
492607,NULL,NULL
492689,NULL,NULL
492704,NULL,NULL
493080,NULL,NULL
493488,NULL,NULL
493512,NULL,NULL
493567,NULL,NULL
493585,NULL,NULL
493637,NULL,NULL
493664,NULL,NULL
493673,NULL,NULL
493716,NULL,NULL
493895,NULL,NULL
493947,NULL,NULL
494010,NULL,NULL
494269,NULL,NULL
494551,NULL,NULL
494621,NULL,NULL
494755,NULL,NULL
494904,NULL,NULL
494940,NULL,NULL
494959,NULL,NULL
494986,NULL,NULL
495013,NULL,NULL
495059,NULL,NULL
495077,NULL,NULL
495110,NULL,NULL
495156,NULL,NULL
495165,NULL,NULL
495192,NULL,NULL
495226,NULL,NULL
495271,NULL,NULL
495280,NULL,NULL
495299,NULL,NULL
495314,NULL,NULL
495378,NULL,NULL
495387,NULL,NULL
495396,NULL,NULL
495420,NULL,NULL
495439,NULL,NULL
495448,NULL,NULL
495457,NULL,NULL
495916,NULL,NULL
496043,NULL,NULL
496052,NULL,NULL
496061,NULL,NULL
496186,NULL,NULL
496283,NULL,NULL
496292,NULL,NULL
496326,NULL,NULL
496371,NULL,NULL
496423,NULL,NULL
10236801,NULL,NULL
10236802,NULL,NULL
10236803,NULL,NULL
10236808,NULL,NULL
10236809,NULL,NULL
10415101,NULL,NULL
10415102,NULL,NULL
10415103,NULL,NULL
10415104,NULL,NULL
10415105,NULL,NULL
10415106,NULL,NULL
10415107,NULL,NULL
10415108,NULL,NULL
10415109,NULL,NULL
10415110,NULL,NULL
10415111,NULL,NULL
10415112,NULL,NULL
10635101,NULL,NULL
10704401,NULL,NULL
10722001,NULL,NULL
10722002,NULL,NULL
10722003,NULL,NULL
10722004,NULL,NULL
10772501,NULL,NULL
11046801,NULL,NULL
11046802,NULL,NULL
11046803,NULL,NULL
11046804,NULL,NULL
11046805,NULL,NULL
11257001,NULL,NULL
11435401,NULL,NULL
11435402,NULL,NULL
11458501,NULL,NULL
11473402,NULL,NULL
11508305,NULL,NULL
11508306,NULL,NULL
11577301,NULL,NULL
11635001,NULL,NULL
11643901,NULL,NULL
11710401,NULL,NULL
11854101,NULL,NULL
11854102,NULL,NULL
11891201,NULL,NULL
11917301,NULL,NULL
12240901,NULL,NULL
12265801,NULL,NULL
12293101,NULL,NULL
12429201,NULL,NULL
12509101,NULL,NULL
12601201,NULL,NULL
12682703,NULL,NULL
12697901,NULL,NULL
12697902,NULL,NULL
12777801,NULL,NULL
12777802,NULL,NULL
12777803,NULL,NULL
12980801,NULL,NULL
12980802,NULL,NULL
13017401,NULL,NULL
13017402,NULL,NULL
13017403,NULL,NULL
13017405,NULL,NULL
13017407,NULL,NULL
13017408,NULL,NULL
13090701,NULL,NULL
13090702,NULL,NULL
13180301,NULL,NULL
13247101,NULL,NULL
13508101,NULL,NULL
13508102,NULL,NULL
13508103,NULL,NULL
13508104,NULL,NULL
13508105,NULL,NULL
13508106,NULL,NULL
13508107,NULL,NULL
13508108,NULL,NULL
13508109,NULL,NULL
13508110,NULL,NULL
13508111,NULL,NULL
13508112,NULL,NULL
13508113,NULL,NULL
13508114,NULL,NULL
13508115,NULL,NULL
13508116,NULL,NULL
13552201,NULL,NULL
13682601,NULL,NULL
13830901,NULL,NULL
13830902,NULL,NULL
13830903,NULL,NULL
13830904,NULL,NULL
13962101,NULL,NULL
13962102,NULL,NULL
14736901,NULL,NULL
14736902,NULL,NULL
14953201,NULL,NULL
15085301,NULL,NULL
15085302,NULL,NULL
15085303,NULL,NULL
15098701,NULL,NULL
15098702,NULL,NULL
15098703,NULL,NULL
15098704,NULL,NULL
15098705,NULL,NULL
15098706,NULL,NULL
15098707,NULL,NULL
15098708,NULL,NULL
15098709,NULL,NULL
15098710,NULL,NULL
15098711,NULL,NULL
15098712,NULL,NULL
15098713,NULL,NULL
15098714,NULL,NULL
15208001,NULL,NULL
15336601,NULL,NULL
15468801,NULL,NULL
15468802,NULL,NULL
15492501,NULL,NULL
15492502,NULL,NULL
15535301,NULL,NULL
15631001,NULL,NULL
15631002,NULL,NULL
15631003,NULL,NULL
15631004,NULL,NULL
15631005,NULL,NULL
16061201,NULL,NULL
16061202,NULL,NULL
16061203,NULL,NULL
16061204,NULL,NULL
16149303,NULL,NULL
16210401,NULL,NULL
16855501,NULL,NULL
16884701,NULL,NULL
16884703,NULL,NULL
16884704,NULL,NULL
16884706,NULL,NULL
16884707,NULL,NULL
16884709,NULL,NULL
16884710,NULL,NULL
16908001,NULL,NULL
16947903,NULL,NULL
16947904,NULL,NULL
16947905,NULL,NULL
16947907,NULL,NULL
16947909,NULL,NULL
16947910,NULL,NULL
16947912,NULL,NULL
16947918,NULL,NULL
16947920,NULL,NULL
16947921,NULL,NULL
16947922,NULL,NULL
16947923,NULL,NULL
16947924,NULL,NULL
16947925,NULL,NULL
17296301,NULL,NULL
17320301,NULL,NULL
17355901,NULL,NULL
17355902,NULL,NULL
17355903,NULL,NULL
17391101,NULL,NULL
17395701,NULL,NULL
17395702,NULL,NULL
17399301,NULL,NULL
17447301,NULL,NULL
17501401,NULL,NULL
17501402,NULL,NULL
17501403,NULL,NULL
17501404,NULL,NULL
17501405,NULL,NULL
17501406,NULL,NULL
17526301,NULL,NULL
17557301,NULL,NULL
17557302,NULL,NULL
17601701,NULL,NULL
17623901,NULL,NULL
17706501,NULL,NULL
17706503,NULL,NULL
17706504,NULL,NULL
17706505,NULL,NULL
17706506,NULL,NULL
17706507,NULL,NULL
17706508,NULL,NULL
17706509,NULL,NULL
17706510,NULL,NULL
17706511,NULL,NULL
17706512,NULL,NULL
17706513,NULL,NULL
17706514,NULL,NULL
17706515,NULL,NULL
17706516,NULL,NULL
17706517,NULL,NULL
17706518,NULL,NULL
17706519,NULL,NULL
17706521,NULL,NULL
17706522,NULL,NULL
17706523,NULL,NULL
17706524,NULL,NULL
17706525,NULL,NULL
17706526,NULL,NULL
17706527,NULL,NULL
17706528,NULL,NULL
17706529,NULL,NULL
17706530,NULL,NULL
17706532,NULL,NULL
17706533,NULL,NULL
17706534,NULL,NULL
17706535,NULL,NULL
17706536,NULL,NULL
17706537,NULL,NULL
17706538,NULL,NULL
17706539,NULL,NULL
17706540,NULL,NULL
17706541,NULL,NULL
17706542,NULL,NULL
17706543,NULL,NULL
17706544,NULL,NULL
17733901,NULL,NULL
18017901,NULL,NULL
18303501,NULL,NULL
18409201,NULL,NULL
18557201,NULL,NULL
18908801,NULL,NULL
18908802,NULL,NULL
18908803,NULL,NULL
18908804,NULL,NULL
18908805,NULL,NULL
18908806,NULL,NULL
18908807,NULL,NULL
18908808,NULL,NULL
18908809,NULL,NULL
18908810,NULL,NULL
18922801,NULL,NULL
18956501,NULL,NULL
18958301,NULL,NULL
18958302,NULL,NULL
18959201,NULL,NULL
19050301,NULL,NULL
19050302,NULL,NULL
19054901,NULL,NULL
19200401,NULL,NULL
19385801,NULL,NULL
19457801,NULL,NULL
19476301,NULL,NULL
19570201,NULL,NULL
19580901,NULL,NULL
19857001,NULL,NULL
19998001,NULL,NULL
20146901,NULL,NULL
20146902,NULL,NULL
20146903,NULL,NULL
20306701,NULL,NULL
20306702,NULL,NULL
20354401,NULL,NULL
20417601,NULL,NULL
20627901,NULL,NULL
20627902,NULL,NULL
20627903,NULL,NULL
20651601,NULL,NULL
20750001,NULL,NULL
20750002,NULL,NULL
20750003,NULL,NULL
21036801,NULL,NULL
21036802,NULL,NULL
21078401,NULL,NULL
21130701,NULL,NULL
21130702,NULL,NULL
21287801,NULL,NULL
21287802,NULL,NULL
21287803,NULL,NULL
21287804,NULL,NULL
21429001,NULL,NULL
21429002,NULL,NULL
21437901,NULL,NULL
21608301,NULL,NULL
22039401,NULL,NULL
22055203,NULL,NULL
22055204,NULL,NULL
22300101,NULL,NULL
22797901,NULL,NULL
22797902,NULL,NULL
22797903,NULL,NULL
22828201,NULL,NULL
22872301,NULL,NULL
23059701,NULL,NULL
23091301,NULL,NULL
23091302,NULL,NULL
23155401,NULL,NULL
23178501,NULL,NULL
23178502,NULL,NULL
23368401,NULL,NULL
23368402,NULL,NULL
23368403,NULL,NULL
23368404,NULL,NULL
23368405,NULL,NULL
23368407,NULL,NULL
23368408,NULL,NULL
23368409,NULL,NULL
23368410,NULL,NULL
23368411,NULL,NULL
23384201,NULL,NULL
23693901,NULL,NULL
23693902,NULL,NULL
23693903,NULL,NULL
24297201,NULL,NULL
24297202,NULL,NULL
24297203,NULL,NULL
24297204,NULL,NULL
24297205,NULL,NULL
24297206,NULL,NULL
24297207,NULL,NULL
24297208,NULL,NULL
24297209,NULL,NULL
24297210,NULL,NULL
24297211,NULL,NULL
24297212,NULL,NULL
24297213,NULL,NULL
24297214,NULL,NULL
24297215,NULL,NULL
24297216,NULL,NULL
24297217,NULL,NULL
24297218,NULL,NULL
24297219,NULL,NULL
24297220,NULL,NULL
24297221,NULL,NULL
24297222,NULL,NULL
24297223,NULL,NULL
24297224,NULL,NULL
24297225,NULL,NULL
24366501,NULL,NULL
24378001,NULL,NULL
24378002,NULL,NULL
24378003,NULL,NULL
24378004,NULL,NULL
24378006,NULL,NULL
24378007,NULL,NULL
24378008,NULL,NULL
24378009,NULL,NULL
24378010,NULL,NULL
24893401,NULL,NULL
24893402,NULL,NULL
24893403,NULL,NULL
