state_rank,Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020,ADDR,CITY,STABBR,ZIP,LONGITUD,LATITUDE,COSTT4_A,COSTT4_P,total_cost
2,216010,Shippensburg University of Pennsylvania,5,1357,8,1296,3,1219,0.0036845983787767134,0.0061728395061728392,0.0024610336341263331,1871 Old Main Drive,Shippensburg,PA,17257-2299,-77.522335,40.057933,29182,0,116728
2,215798,Saint Vincent College,1,417,1,359,4,360,0.0023980815347721821,0.0027855153203342618,0.011111111111111112,300 Fraser Purchase Rd,Latrobe,PA,15650-2690,-79.403762,40.29265,50140,0,200560
2,211361,California University of Pennsylvania,12,1014,2,966,4,908,0.011834319526627219,0.002070393374741201,0.0044052863436123352,250 University Ave,California,PA,15419-1394,-79.88679,40.064964,25716,0,102864
2,213321,King's College,24,555,8,560,4,487,0.043243243243243246,0.014285714285714285,0.0082135523613963042,133 N River St,Wilkes-Barre,PA,18711-0801,-75.879822,41.250097,52647,0,210588
2,216038,Slippery Rock University of Pennsylvania,12,1554,9,1580,4,1463,0.0077220077220077222,0.00569620253164557,0.0027341079972658922,1 Morrow Way,Slippery Rock,PA,16057-1383,-80.045965,41.062719,24600,0,98400
2,213996,Messiah College,21,647,17,606,4,614,0.032457496136012363,0.028052805280528052,0.0065146579804560263,One University Avenue,Mechanicsburg,PA,17055,-76.988269,40.156579,49864,0,199456
2,215275,University of Pittsburgh-Greensburg,3,399,2,412,6,363,0.0075187969924812026,0.0048543689320388345,0.016528925619834711,150 Finoli Drive,Greensburg,PA,15601-5860,-79.532676,40.276447,27461,0,109844
2,213349,Kutztown University of Pennsylvania,16,1640,5,1398,6,1532,0.00975609756097561,0.00357653791130186,0.0039164490861618795,15200 Kutztown Rd,Kutztown,PA,19530-0730,-75.783933,40.513561,28414,0,113656
2,214175,Muhlenberg College,11,548,10,538,6,517,0.020072992700729927,0.01858736059479554,0.01160541586073501,2400 Chew Street,Allentown,PA,18104,-75.508502,40.596416,69413,0,277652
2,214041,Millersville University of Pennsylvania,7,1380,6,1334,7,1160,0.0050724637681159417,0.0044977511244377807,0.00603448275862069,"1 South George Street, Lyle Hall",Millersville,PA,17551-0302,-76.357381,40.000337,27526,0,110104
2,213020,Indiana University of Pennsylvania-Main Campus,21,2132,9,1921,10,1881,0.0098499061913696062,0.0046850598646538261,0.00531632110579479,1011 South Dr 201 Sutton Hall,Indiana,PA,15705-1098,-79.159332,40.617531,28442,0,113768
2,213367,La Salle University,20,1049,12,793,10,582,0.019065776930409915,0.015132408575031526,0.017182130584192441,1900 W Olney Ave,Philadelphia,PA,19141-1199,-75.153061,40.037979,45298,0,181192
2,212160,Edinboro University of Pennsylvania,4,598,10,706,12,645,0.006688963210702341,0.014164305949008499,0.018604651162790697,219 Meadville Street,Edinboro,PA,16444-0001,-80.121318,41.870717,22036,0,88144
2,215442,Point Park University,8,616,18,633,13,522,0.012987012987012988,0.02843601895734597,0.024904214559386972,201 Wood St,Pittsburgh,PA,15222-1984,-80.002061,40.438768,45350,0,181400
2,213987,Mercyhurst University,25,644,22,586,13,685,0.038819875776397512,0.037542662116040959,0.018978102189781021,501 E 38th St,Erie,PA,16546,-80.053412,42.10578,56266,0,225064
2,210669,Allegheny College,21,474,21,500,14,400,0.044303797468354431,0.042,0.035,520 N Main St,Meadville,PA,16335-3902,-80.147168,41.64869,64901,0,259604
2,215655,Robert Morris University,34,817,23,732,17,565,0.0416156670746634,0.031420765027322405,0.030088495575221239,6001 University Boulevard,Moon Township,PA,15108-1189,-80.210468,40.520415,47724,0,190896
2,213598,Lincoln University,7,542,5,445,18,447,0.012915129151291513,0.011235955056179775,0.040268456375838924,1570 Baltimore Pike,Lincoln University,PA,19352-0999,-75.926458,39.807723,26008,0,104032
2,216931,Wilkes University,12,650,20,550,19,492,0.018461538461538463,0.036363636363636362,0.038617886178861791,84 West South Street,Wilkes-Barre,PA,18766,-75.890262,41.244199,54085,0,216340
2,213358,La Roche University,14,225,30,205,20,196,0.06222222222222222,0.14634146341463414,0.10204081632653061,9000 Babcock Blvd,Pittsburgh,PA,15237-5898,-80.014851,40.568615,43073,0,172292
2,212106,Duquesne University,20,1512,13,1302,21,1195,0.013227513227513227,0.009984639016897081,0.017573221757322177,Administration Bldg 600 Forbes Ave,Pittsburgh,PA,15282,-79.993123,40.43589,56199,0,224796
2,212674,Gettysburg College,23,748,31,681,26,640,0.03074866310160428,0.04552129221732746,0.040625,300 N Washington St,Gettysburg,PA,17325,-77.236792,39.836597,71850,0,287400
2,212009,Dickinson College,86,635,39,453,32,490,0.13543307086614173,0.086092715231788075,0.0653061224489796,College and Louther Streets,Carlisle,PA,17013-2896,-77.197854,40.202796,73650,0,294600
2,213385,Lafayette College,60,733,66,698,32,606,0.081855388813096869,0.094555873925501438,0.052805280528052806,High St,Easton,PA,18042-1768,-75.209786,40.69956,74016,0,296064
2,212601,Gannon University,55,771,41,734,37,634,0.071335927367055768,0.055858310626702996,0.0583596214511041,109 W Sixth St,Erie,PA,16541-0001,-80.087166,42.128403,46867,0,187468
2,216597,Villanova University,63,1688,46,1695,38,1700,0.037322274881516584,0.027138643067846607,0.022352941176470589,800 Lancaster Avenue,Villanova,PA,19085-1699,-75.345457,40.039388,73042,0,292168
